res_m,k,term,k',edf,k-index,p-value
50000,50,"ti(x,y)",49,48.305875717818665,0.9504742135203871,0
50000,50,ti(year_scaled),19,18.979777989689012,0.6360953796386473,0
50000,50,"ti(x,y,year_scaled)",1881,811.9467392291598,0.17334484986531337,0
50000,100,"ti(x,y)",99,94.71915571530953,0.982497242793472,0.1125
50000,100,ti(year_scaled),19,18.980313435590922,0.6192094420525953,0
50000,100,"ti(x,y,year_scaled)",1881,822.3202674755311,0.15239928072453615,0
50000,200,"ti(x,y)",199,173.2036636173471,1.0264048137133843,0.9775
50000,200,ti(year_scaled),19,18.98063690118753,0.611752975150648,0
50000,200,"ti(x,y,year_scaled)",1881,828.9516727743229,0.12688445363216827,0
50000,400,"ti(x,y)",399,256.01959961714834,1.0111720794898327,0.79
50000,400,ti(year_scaled),19,18.980679779850423,0.6280105495928158,0
50000,400,"ti(x,y,year_scaled)",1881,829.8471390851186,0.13324882331715623,0
25000,50,"ti(x,y)",49,48.833938310270376,0.8996633045310183,0
25000,50,ti(year_scaled),19,18.99480136950094,0.6533442770768049,0
25000,50,"ti(x,y,year_scaled)",1881,1405.5863846589793,0.20695094448178883,0
25000,100,"ti(x,y)",99,98.03186064642763,0.9624452287395927,0
25000,100,ti(year_scaled),19,18.994964496362464,0.6217859811044036,0
25000,100,"ti(x,y,year_scaled)",1881,1416.277166783222,0.18386318930586232,0
25000,200,"ti(x,y)",199,192.97448634031568,0.9953747034471838,0.335
25000,200,ti(year_scaled),19,18.995080015870492,0.6024922747073791,0
25000,200,"ti(x,y,year_scaled)",1881,1424.8413885604923,0.1565316982520872,0
25000,400,"ti(x,y)",399,359.2673920767866,1.0030401459118365,0.605
25000,400,ti(year_scaled),19,18.995130104105147,0.5916001009961641,0
25000,400,"ti(x,y,year_scaled)",1881,1428.5671296088483,0.15535310715102696,0
25000,800,"ti(x,y)",799,589.330576697744,1.004043994154531,0.6
25000,800,ti(year_scaled),19,18.995159061797946,0.6283392553768927,0
25000,800,"ti(x,y,year_scaled)",1881,1430.7369436956596,0.14214689745415532,0
10000,50,"ti(x,y)",49,48.971366610005376,0.9229105584845166,0
10000,50,ti(year_scaled),19,18.999128834112945,0.6887063251385184,0
10000,50,"ti(x,y,year_scaled)",1881,1779.2335804031406,0.24945685383233535,0
10000,100,"ti(x,y)",99,98.84793258774161,0.9607489835581184,0
10000,100,ti(year_scaled),19,18.99915869195184,0.6704289796492243,0
10000,100,"ti(x,y,year_scaled)",1881,1782.3520429046846,0.22487668600370345,0
10000,200,"ti(x,y)",199,198.04482322440236,0.9689407711749917,0.01
10000,200,ti(year_scaled),19,18.999178384602025,0.6381339112728781,0
10000,200,"ti(x,y,year_scaled)",1881,1784.3267898414358,0.20466267626566317,0
10000,400,"ti(x,y)",399,392.7303168935719,0.99302811404931135,0.3425
10000,400,ti(year_scaled),19,18.99918854357368,0.6143749311917871,0
10000,400,"ti(x,y,year_scaled)",1881,1785.3572553380209,0.17784818017225185,0
10000,800,"ti(x,y)",799,760.5687989785523,1.0173319874583988,0.9375
10000,800,ti(year_scaled),19,18.99919607143798,0.629145938840349,0
10000,800,"ti(x,y,year_scaled)",1881,1786.112161929343,0.17229666684235387,0
5000,50,"ti(x,y)",49,48.99278355092341,0.9372011946742688,0
5000,50,ti(year_scaled),19,18.99978253015507,0.6730957837309394,0
5000,50,"ti(x,y,year_scaled)",1881,1857.8808383845708,0.26025860686316715,0
5000,100,"ti(x,y)",99,98.96178915002136,0.9600117368555341,0
5000,100,ti(year_scaled),19,18.999786452019123,0.6501212808407848,0
5000,100,"ti(x,y,year_scaled)",1881,1858.4488111563296,0.24907326643848,0
5000,200,"ti(x,y)",199,198.75896887716297,0.9773803791900377,0.03
5000,200,ti(year_scaled),19,18.999793043672412,0.660075885378779,0
5000,200,"ti(x,y,year_scaled)",1881,1858.9769097560854,0.2331632481113798,0
5000,400,"ti(x,y)",399,397.5299235832377,0.9641330618811912,0.0025
5000,400,ti(year_scaled),19,18.999797215347247,0.6565092578070038,0
5000,400,"ti(x,y,year_scaled)",1881,1859.2655590639692,0.22580337292318825,0
5000,800,"ti(x,y)",799,790.2799330240204,1.006706733726467,0.705
5000,800,ti(year_scaled),19,18.999797680537718,0.6334758283655045,0
5000,800,"ti(x,y,year_scaled)",1881,1859.491938556644,0.19515716228748092,0
