threshold,label,min,max,mean,sd,count,slope
50,Harvard Forest,81,126,108.6279067993164,9.844078063964844,43,-0.2321051061153412
50,"Grand Rapids, MI",75,121,104.97674560546875,11.732105255126953,43,0.056327395141124725
50,"Rhinelander, WI",79,139,116.51162719726562,11.901124954223633,43,-0.09936574846506119
50,Mountain Lake Biological Station,73,118,95.74418640136719,9.081884384155273,43,-0.2268196940422058
50,"Georgetown, DE",9,91,57.58139419555664,19.143857955932617,43,-0.38825127482414246
50,"Kansas City, MO",42,96,66.30232238769531,11.889440536499023,43,-0.02627605013549328
350,Harvard Forest,142,165,152.58139038085938,5.590095520019531,43,-0.15946844220161438
350,"Grand Rapids, MI",134,164,148.23255920410156,7.511379241943359,43,-0.024010872468352318
350,"Rhinelander, WI",141,172,158.39535522460938,8.00933837890625,43,0.007399577181786299
350,Mountain Lake Biological Station,136,169,148.27906799316406,7.125826835632324,43,-0.14980368316173553
350,"Georgetown, DE",104,136,121.18604278564453,8.321675300598145,43,-0.30700695514678955
350,"Kansas City, MO",89,137,116.81395721435547,9.292228698730469,43,-0.051797039806842804
650,Harvard Forest,162,182,173.81394958496094,4.943758964538574,43,-0.1720024198293686
650,"Grand Rapids, MI",153,180,167.6511688232422,6.316583156585693,43,-0.0616128072142601
650,"Rhinelander, WI",166,195,180.1627960205078,7.559069633483887,43,-0.07324071228504181
650,Mountain Lake Biological Station,161,187,171.2558135986328,6.237723350524902,43,-0.10419812798500061
650,"Georgetown, DE",130,159,145.06976318359375,7.547927379608154,43,-0.2327091544866562
650,"Kansas City, MO",115,154,139.23255920410156,7.954744815826416,43,-0.03307158127427101
1250,Harvard Forest,194,220,205.60464477539062,6.287324905395508,43,-0.31803080439567566
1250,"Grand Rapids, MI",183,212,197.6511688232422,6.711339950561523,43,-0.11914829164743423
1250,"Rhinelander, WI",200,245,216.32557678222656,10.640714645385742,43,-0.11099366098642349
1250,Mountain Lake Biological Station,194,224,207.2093048095703,6.5775885581970215,43,-0.16883116960525513
1250,"Georgetown, DE",164,189,173.72093200683594,5.953492641448975,43,-0.2167019098997116
1250,"Kansas City, MO",147,178,167.44186401367188,6.340731143951416,43,-0.10480217635631561
1950,Harvard Forest,226,277,245.2093048095703,13.008345603942871,43,-0.7139837145805359
1950,"Grand Rapids, MI",210,261,231.41860961914062,10.755358695983887,43,-0.19450317323207855
1950,"Rhinelander, WI",239,298,261.629638671875,18.24227523803711,27,-0.22239470481872559
1950,Mountain Lake Biological Station,227,289,252.0238037109375,11.826980590820312,42,-0.3844698965549469
1950,"Georgetown, DE",189,215,200.06976318359375,5.941762447357178,43,-0.24856539070606232
1950,"Kansas City, MO",174,203,192.46511840820312,6.215758800506592,43,-0.10132890194654465
2500,Harvard Forest,256,341,279.4210510253906,21.6802921295166,19,-1.5449014902114868
2500,"Grand Rapids, MI",239,328,266.6052551269531,20.759288787841797,38,-0.4278751313686371
2500,"Rhinelander, WI",NA,NA,NA,NA,NA,NA
2500,Mountain Lake Biological Station,265,326,293.1111145019531,23.143274307250977,9,-0.3674718737602234
2500,"Georgetown, DE",206,240,219.97674560546875,7.032199382781982,43,-0.2943219542503357
2500,"Kansas City, MO",189,224,210.51162719726562,7.065584182739258,43,-0.10585925728082657
